"","EvseID","ChargingStationId","Accessibility","latitude","longitude","City","Country","PostalCode","Street","IsOpen24Hours","LastUpdate","DynamicInfoAvailable","DynamicPowerLevel","ChargingFacility_power","ChargingFacility_powertype"
"6406","CH*CCC*E50525","CH*CCC*E50525","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6407","CH*CCC*E50526","CH*CCC*E50526","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6408","CH*CCC*E50527","CH*CCC*E50527","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6409","CH*CCC*E50528","CH*CCC*E50528","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6410","CH*CCC*E50521","CH*CCC*E50521","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6411","CH*CCC*E50522","CH*CCC*E50522","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
"6412","CH*CCC*E50111","CH*CCC*E50111","Paying publicly accessible",47.507222,7.531718,"Biel-Benken","CHE","4105","Hauptstrasse 18A",TRUE,NA,"true","",22,"AC_3_PHASE"
"6413","CH*CCI*E21218","CH*CCI*E21218","Paying publicly accessible",47.547636,7.538879,"Allschwil","CHE","4123","Winzerweg 5",TRUE,NA,"true","",11,"AC_3_PHASE"
"6414","CH*CCC*E50596","CH*CCC*E50596","Paying publicly accessible",47.422804,9.367154,"St. Gallen","CHE","9000","Lagerstrasse 6",TRUE,NA,"true","",22,"AC_3_PHASE"
"6415","CH*CCC*E50112","CH*CCC*E50112","Paying publicly accessible",47.507222,7.531718,"Biel-Benken","CHE","4105","Hauptstrasse 18A",TRUE,NA,"true","",22,"AC_3_PHASE"
"6416","CH*CCI*E21217","CH*CCI*E21217","Paying publicly accessible",47.547636,7.538879,"Allschwil","CHE","4123","Winzerweg 5",TRUE,NA,"true","",22,"AC_3_PHASE"
"6417","CH*CCC*E50597","CH*CCC*E50597","Paying publicly accessible",47.422804,9.367154,"St. Gallen","CHE","9000","Lagerstrasse 6",TRUE,NA,"true","",22,"AC_3_PHASE"
"6418","CH*CCC*E50113","CH*CCC*E50113","Paying publicly accessible",46.955029,7.475692,"Bern","CHE","3006","Ostermundigenstrasse 93",TRUE,NA,"true","",11,"AC_3_PHASE"
"6419","CH*CCI*E21219","CH*CCI*E21219","Paying publicly accessible",47.547636,7.538879,"Allschwil","CHE","4123","Winzerweg 5",TRUE,NA,"true","",22,"AC_3_PHASE"
"6420","CH*CCC*E50592","CH*CCC*E50592","Paying publicly accessible",46.692158,9.558685,"Lantsch/Lenz","CHE","7083","Voia da Bual 1",TRUE,NA,"true","",22,"AC_3_PHASE"
"6421","CH*CCC*E50593","CH*CCC*E50593","Paying publicly accessible",46.692158,9.558685,"Lantsch/Lenz","CHE","7083","Voia da Bual 1",TRUE,NA,"true","",22,"AC_3_PHASE"
"6422","CH*CCI*E21212","CH*CCI*E21212","Paying publicly accessible",47.254523,8.721337,"Stäfa","CHE","8712","Bergstrasse 202",TRUE,NA,"true","",22,"AC_3_PHASE"
"6423","CH*CCI*E20365","CH*CCI*E20365","Paying publicly accessible",47.203834,7.557104,"Zuchwil","CHE","4528","Hauptstrasse 65",TRUE,NA,"true","",11,"AC_3_PHASE"
