AccessibilityLocation,Street,City,PostalCode,Country,AuthenticationModes,ChargingFacilities,ChargingStationNames,DynamicInfoAvailable,HotlinePhoneNumber,HubOperatorID,IsHubjectCompatible,IsOpen24Hours,PaymentOptions,Plugs,RenewableEnergy,Accessibility,ChargingStationId,GeoCoordinates,lastUpdate,EvseID
OnStreet,Baselstrasse 14,Zwingen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Garage Keigel AG - Zwingen,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E69511,47.439125 7.5359871,2024-10-04T02:15:04.056Z,CH*SWI*E69511
OnStreet,Baselstrasse 14,Zwingen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Garage Keigel AG - Zwingen,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E69511,47.439125 7.5359871,2024-10-04T02:15:04.056Z,CH*SWI*E69512
OnStreet,Steinackerstrasse 57,Kloten,0,CHE,"NFC RFID Classic, REMOTE","50 DC, 50 DC",Scania Schweiz AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,"CCS Combo 2 Plug (Cable Attached), CHAdeMO",False,Free publicly accessible,CH*SWI*E68286,47.44764888 8.60481029,2024-10-04T02:15:04.056Z,CH*SWI*E68289
OnStreet,Baselstrasse 14,Zwingen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Garage Keigel AG - Zwingen,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E69511,47.439125 7.5359871,2024-10-04T02:15:04.056Z,CH*SWI*E69513
OnStreet,"Raststätte Würenlos, Richtung Zürich",Würenlos,0,CHE,"NFC RFID Classic, REMOTE",150 DC,GOFAST Würenlos Limmat 2,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E70226,47.438218 8.3466591,2024-10-04T02:15:04.057Z,CH*SWI*E70227
OnStreet,Klosterweg 34,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Klosterweg 34 DC,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E68290,47.38677963 8.57565844,2024-10-04T02:15:04.056Z,CH*SWI*E68290
OnStreet,Riedbachstrasse 165,Bern,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Bern,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E69698,46.9429753 7.36248345,2024-10-04T02:15:04.057Z,CH*SWI*E69699
OnStreet,"Raststätte Würenlos, Richtung Zürich",Würenlos,0,CHE,"NFC RFID Classic, REMOTE",150 DC,GOFAST Würenlos Limmat 2,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E70226,47.438218 8.3466591,2024-10-04T02:15:04.057Z,CH*SWI*E70226
OnStreet,Riedbachstrasse 165,Bern,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,EM Bern,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E69698,46.9429753 7.36248345,2024-10-04T02:15:04.057Z,CH*SWI*E69698
OnStreet,Bahnhofstrasse 91a,Steffisburg,3613,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Burgergut Thun,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E7694,46.772887 7.616464,2024-10-04T02:15:04.057Z,CH*SWI*E7694
OnStreet,Fronwaldstrasse 15,Zürich,0,CHE,"NFC RFID Classic, REMOTE",24 DC,Hürstwald-Garage AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E70144,47.415164 8.518156,2024-10-04T02:15:04.057Z,CH*SWI*E70144
OnStreet,Klosterweg 34,Zürich,0,CHE,"NFC RFID Classic, REMOTE","50 DC, 50 DC",ewz Klosterweg 34 DC,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,"CCS Combo 2 Plug (Cable Attached), CHAdeMO",False,Free publicly accessible,CH*SWI*E68290,47.38677963 8.57565844,2024-10-04T02:15:04.056Z,CH*SWI*E68291
OnStreet,Längenbergstrasse 2,Schaffhausen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Gasthof Ziegelhütte,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E77806,47.72765 8.6286,2024-10-04T02:15:04.057Z,CH*SWI*E77806
OnStreet,Embraport 2,Embrach ,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Zürcher Freilager AG Embraport 2 PP42-PP43,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E70446,47.518674 8.592243,2024-10-04T02:15:04.057Z,CH*SWI*E70446
OnStreet,Längenbergstrasse 2,Schaffhausen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Gasthof Ziegelhütte,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E77806,47.72765 8.6286,2024-10-04T02:15:04.057Z,CH*SWI*E77807
OnStreet,Embraport 2,Embrach ,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Zürcher Freilager AG Embraport 2 PP42-PP43,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E70446,47.518674 8.592243,2024-10-04T02:15:04.057Z,CH*SWI*E70445
OnStreet,Mühlentalstrasse 184/188,Schaffhausen,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,"MEDIPACK AG, Mühlentalstrasse 184/188",true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E7782,47.708412 8.630645,2024-10-04T02:15:04.057Z,CH*SWI*E7783
OnStreet,"Raststätte Würenlos, Richtung Zürich",Würenlos,0,CHE,"NFC RFID Classic, REMOTE",150 DC,GOFAST Würenlos Limmat 4,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E78214,47.438429 8.3465264,2024-10-04T02:15:04.057Z,CH*SWI*E78215
OnStreet,Ringstrasse 23,Zunzgen,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Gemeindewerkhof Zunzgen,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E78345,47.452864 7.8028697,2024-10-04T02:15:04.057Z,CH*SWI*E78345
OnStreet,Lochackerweg 5,Moosseedorf,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,destination Transgourmet Moosseedorf,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E78058,47.012731 7.470005,2024-10-04T02:15:04.057Z,CH*SWI*E78059
OnStreet,"Raststätte Würenlos, Richtung Zürich",Würenlos,0,CHE,"NFC RFID Classic, REMOTE",150 DC,GOFAST Würenlos Limmat 4,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E78214,47.438429 8.3465264,2024-10-04T02:15:04.057Z,CH*SWI*E78214
OnStreet,"Raststätte Würenlos, Richtung Zürich",Würenlos,0,CHE,"NFC RFID Classic, REMOTE",150 DC,GOFAST Würenlos Limmat 3,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,CCS Combo 2 Plug (Cable Attached),False,Free publicly accessible,CH*SWI*E77900,47.438285 8.3465984,2024-10-04T02:15:04.057Z,CH*SWI*E77900
